state,zip,phone,mc,score,sample,stateavg
AL,35233,2053258100,SCIP-CARD-2,,,AL_SCIP-CARD-2
AL,35233,2053258100,SCIP-INF-1,,,AL_SCIP-INF-1
AL,35233,2053258100,SCIP-INF-2,,,AL_SCIP-INF-2
AL,35233,2053258100,SCIP-INF-3,,,AL_SCIP-INF-3
AL,35233,2053258100,SCIP-INF-4,,,AL_SCIP-INF-4
AL,35233,2053258100,SCIP-INF-6,,,AL_SCIP-INF-6
AL,35233,2053258100,SCIP-VTE-1,,,AL_SCIP-VTE-1
AL,35233,2053258100,SCIP-VTE-2,,,AL_SCIP-VTE-2
AL,35660,2563864556,AMI-1,97%,33 patients,AL_AMI-1
AL,35660,2563864556,AMI-2,92%,13 patients,AL_AMI-2
AL,35660,2563864556,AMI-3,75%,4 patients,AL_AMI-3
AL,35660,2563864556,AMI-4,100%,4 patients,AL_AMI-4
AL,35660,2563864556,AMI-5,86%,14 patients,AL_AMI-5
AL,35660,2563864556,AMI-7A,,0 patients,AL_AMI-7A
AL,35660,2563864556,AMI-8A,,0 patients,AL_AMI-8A
AL,35660,2563864556,HF-1,80%,114 patients,AL_HF-1
AL,35660,2563864556,HF-2,99%,149 patients,AL_HF-2
AL,35660,2563864556,HF-3,92%,37 patients,AL_HF-3
AL,35660,2563864556,HF-4,100%,41 patients,AL_HF-4
AL,36302,3347938701,AMI-1,98%,270 patients,AL_AMI-1
AL,36302,3347938701,AMI-2,99%,516 patients,AL_AMI-2
AL,36302,3347938701,AMI-3,96%,71 patients,AL_AMI-3
AL,36302,3347938701,AMI-4,100%,244 patients,AL_AMI-4
AL,36302,3347938701,AMI-5,99%,441 patients,AL_AMI-5
AL,36302,3347938701,AMI-7A,,0 patients,AL_AMI-7A
AL,36302,3347938701,AMI-8A,72%,40 patients,AL_AMI-8A
AL,36302,3347938701,HF-1,78%,455 patients,AL_HF-1
AL,36302,3347938701,HF-2,99%,514 patients,AL_HF-2
AL,36302,3347938701,HF-3,91%,165 patients,AL_HF-3
AL,36302,3347938701,HF-4,100%,110 patients,AL_HF-4
AL,36302,3347938701,PN-2,93%,191 patients,AL_PN-2
AL,36302,3347938701,PN-3B,89%,125 patients,AL_PN-3B
AL,36302,3347938701,PN-4,99%,107 patients,AL_PN-4
AL,36302,3347938701,PN-5C,92%,196 patients,AL_PN-5C
AL,36302,3347938701,PN-6,80%,147 patients,AL_PN-6
AL,36302,3347938701,PN-7,84%,160 patients,AL_PN-7
AL,36302,3347938701,SCIP-CARD-2,72%,79 patients,AL_SCIP-CARD-2
AL,36302,3347938701,SCIP-INF-1,94%,399 patients,AL_SCIP-INF-1
AL,36302,3347938701,SCIP-INF-2,98%,405 patients,AL_SCIP-INF-2
AL,36302,3347938701,SCIP-INF-3,88%,385 patients,AL_SCIP-INF-3
AL,36302,3347938701,SCIP-INF-4,96%,136 patients,AL_SCIP-INF-4
AL,36302,3347938701,SCIP-INF-6,90%,537 patients,AL_SCIP-INF-6
AL,36302,3347938701,SCIP-VTE-1,86%,185 patients,AL_SCIP-VTE-1
AL,36302,3347938701,SCIP-VTE-2,83%,184 patients,AL_SCIP-VTE-2
AL,35957,2565938310,AMI-1,80%,20 patients,AL_AMI-1
AL,35957,2565938310,AMI-2,60%,5 patients,AL_AMI-2
AL,35957,2565938310,AMI-3,100%,2 patients,AL_AMI-3
AL,35957,2565938310,AMI-4,,0 patients,AL_AMI-4
AL,35957,2565938310,AMI-5,100%,5 patients,AL_AMI-5
AL,35957,2565938310,AMI-7A,,0 patients,AL_AMI-7A
AL,35957,2565938310,AMI-8A,,0 patients,AL_AMI-8A
AL,35957,2565938310,HF-1,78%,110 patients,AL_HF-1
AL,35957,2565938310,HF-2,99%,160 patients,AL_HF-2
AL,35957,2565938310,HF-3,90%,69 patients,AL_HF-3
AL,35957,2565938310,HF-4,94%,34 patients,AL_HF-4
AL,35957,2565938310,PN-2,97%,172 patients,AL_PN-2
AL,35957,2565938310,PN-3B,97%,120 patients,AL_PN-3B
AL,35957,2565938310,PN-4,97%,98 patients,AL_PN-4
AL,35957,2565938310,PN-5C,96%,211 patients,AL_PN-5C
