,hibernate-orm_methodnaming,is_anomaly
0,getSpecified_column,1
1,setSpecified_column,1
2,v21Schema,0
3,v2Schema,0
4,v1Schema,0
5,c3p0ConfigDefined,0
6,testHistoryOfTnae1_id,1
7,testHistoryOfTnae2_id,1
8,testInsertUpdateEntity_NaturalIdCachedAfterTransactionSuccess,1
9,testHistoryOfEd1_1,1
10,testHistoryOfEd1_2,1
11,testHistoryOfEd2_1,1
12,testHistoryOfEd2_2,1
13,test_dimension_on_jts,1
14,test_dimension_on_geolatte,1
15,test_astext_on_jts,1
16,test_astext_on_geolatte,1
17,test_asbinary_on_jts,1
18,test_asbinary_on_geolatte,1
19,test_geometrytype_on_jts,1
20,test_geometrytype_on_geolatte,1
21,test_srid_on_jts,1
22,test_srid_on_geolatte,1
23,test_issimple_on_jts,1
24,test_issimple_on_geolatte,1
25,test_isempty_on_jts,1
26,test_isempty_on_geolatte,1
27,test_boundary_on_jts,1
28,test_boundary_on_geolatte,1
29,test_envelope_on_jts,1
30,test_envelope_on_geolatte,1
31,test_within_on_jts,1
32,test_within_on_geolatte,1
33,test_equals_on_jts,1
34,test_equals_on_geolatte,1
35,test_crosses_on_jts,1
36,test_crosses_on_geolatte,1
37,test_contains_on_jts,1
38,test_contains_on_geolatte,1
39,test_disjoint_on_jts,1
40,test_disjoint_on_geolatte,1
41,test_intersects_on_jts,1
42,test_intersects_on_geolatte,1
43,test_overlaps_on_jts,1
44,test_overlaps_on_geolatte,1
45,test_touches_on_jts,1
46,test_touches_on_geolatte,1
47,test_relate_on_jts,1
48,test_relate_on_geolatte,1
49,test_distance_on_jts,1
50,test_distance_on_geolatte,1
51,test_buffer_on_jts,1
52,test_buffer_on_geolatte,1
53,test_convexhull_on_jts,1
54,test_convexhull_on_geolatte,1
55,test_intersection_on_jts,1
56,test_intersection_on_geolatte,1
57,test_difference_on_jts,1
58,test_difference_on_geolatte,1
59,test_symdifference_on_jts,1
60,test_symdifference_on_geolatte,1
61,test_geomunion_on_jts,1
62,test_geomunion_on_geolatte,1
63,test_dwithin_on_jts,1
64,test_dwithin_on_geolatte,1
65,test_transform_on_jts,1
66,test_transform_on_geolatte,1
67,testHistoryOfO1_1,1
68,testHistoryOfO1_2,1
69,testHistoryOfO2_1,1
70,testHistoryOfO2_2,1
71,buildDefaultPar_1_0,1
72,LazyPropertyOnPreUpdate,1
73,testHistoryOfChild1_1,1
74,testHistoryOfChild1_2,1
75,testHistoryOfChild2_1,1
76,testHistoryOfChild2_2,1
77,testHistoryOfChild1_1,1
78,testHistoryOfChild1_2,1
79,testHistoryOfChild2_1,1
80,testHistoryOfChild2_2,1
81,testHistoryOfChild1_1,1
82,testHistoryOfChild1_2,1
83,testHistoryOfChild2_1,1
84,testHistoryOfChild2_2,1
85,testDefaultParForPersistence_1_0,1
86,testHistoryOfTnae1_id,1
87,testHistoryOfTnae2_id,1
88,SDOFilter,1
89,SDOFilter,1
90,SDONN,1
91,SDONN,1
92,SDORelate,1
93,SDORelate,1
94,SDOWithinDistance,1
95,SDOWithinDistance,1
