,wildfly_methodnaming,is_anomaly
0,bind_context,1
1,bind_new_context,1
2,new_context,1
3,rebind_context,1
4,resolve_str,1
5,to_name,1
6,to_string,1
7,to_url,1
8,how_many,1
9,test_use_class_enhancer,1
10,test_persistenceUnitInfoURLS,1
11,test_persistenceProviderAdapterInitialized,1
12,of,0
13,original_type_def,1
14,original_type_def,1
15,registerTransformers_1_1_0,1
16,registerTransformers_4_0,1
17,testWFLY3947_1,1
18,testWFLY3947_2,1
19,of,0
20,readServerElement_1_0,1
21,readServerElement_1_1,1
22,aMethod,0
23,bMethod,0
24,of,0
25,of,0
26,getJavaLang_Object,1
27,of,0
28,of,0
29,of,0
30,deploy_true,1
31,deploy_false,1
32,deploy_invalid,1
33,deploy_true_app,1
34,deploy_false_app,1
35,deploy_invalid_app,1
36,readElement_1_0,1
37,readElement_1_1,1
38,readElement_1_4,1
39,readElement_2_0,1
40,parseORBConfig_1_0,1
41,parseORBInitializersConfig_1_0,1
42,parseSecurityConfig_1_0,1
43,parseGenericProperty_1_0,1
44,ps,0
45,pd,0
46,testTransformerEAP_6_2_0,1
47,testTransformerEAP_6_3_0,1
48,testTransformerEAP_6_4_0,1
49,testRejectionsEAP_6_2_0,1
50,testRejectionsEAP_6_3_0,1
51,testRejectionsEAP_6_4_0,1
52,type_def,1
53,type_def,1
54,buildTransformers2_1_0,1
55,buildTransformers2_0_0,1
56,buildTransformers1_4_0,1
57,buildTransformers1_3_0,1
58,of,0
59,of,0
60,registerTransformers_1_2_1_and_1_3_0,1
61,readElement1_0,1
62,readElement1_1,1
63,parseBinding1_0,1
64,parseBinding1_1,1
65,testTransformersEAP_6_4_0,1
66,testRejectExpressionsEAP_6_4_0,1
67,testTransformersEAP_6_3_0,1
68,testRejectExpressionsEAP_6_3_0,1
69,testTransformersEAP_6_2_0,1
70,testRejectExpressionsEAP_6_2_0,1
71,doTestRejectExpressions_1_3_0,1
72,doTestRejectExpressions_1_4_0,1
73,doTestRejectExpressions_2_0_0_or_2_1_0,1
74,type_def,1
75,type_def,1
76,testTransformation_1_4_0,1
77,testTransformation_1_3_0,1
78,testRejectingTransformers_1_3_0,1
79,testRejectingTransformers_1_4_0,1
80,deploy_multiple_url,1
81,deploy_multiple_mapping,1
82,registerTransformers_1_1_0,1
83,registerTransformers_1_2_0_and_1_3_0,1
84,registerTransformers_3_0,1
85,registerTransformers_1_1_0,1
86,registerTransformers_1_2_0_and_1_3_0,1
87,registerTransformers_3_0_0,1
88,testAuthentication_TwoBeans,1
89,testRunAsICIR_TwoBeans,1
90,testSubsystem1_0,1
91,of,0
92,registerTransformers1_3_0,1
93,testParser_1_2,1
94,testParser_1_3,1
95,testParser_3_0,1
96,result_def,1
97,result_def,1
98,of,0
99,testTransformers_6_0_0,1
100,testTransformers_6_0_1,1
101,testTransformers_1_0_0,1
102,testTransformers_6_1_0,1
103,testTransformers_6_1_1,1
104,testTransformers_1_1_0,1
105,lookup_name,1
106,describe_contents,1
107,create_module,1
108,create_constant,1
109,create_struct,1
110,create_union,1
111,create_enum,1
112,create_alias,1
113,create_interface,1
114,create_value,1
115,create_value_box,1
116,create_exception,1
117,create_native,1
118,eq,0
119,parseDataSource_1_2,1
120,parseXADataSource_1_2,1
121,parseXADataSource_1_0,1
122,parseXADataSource_3_0,1
123,parseXADataSource_4_0,1
124,parseDataSource_1_0,1
125,parseDataSource_3_0,1
126,parseDataSource_4_0,1
127,lookup_name,1
128,describe_contents,1
129,create_module,1
130,create_constant,1
131,create_struct,1
132,create_union,1
133,create_enum,1
134,create_alias,1
135,create_interface,1
136,create_value,1
137,create_value_box,1
138,create_exception,1
139,create_native,1
140,lookup_name,1
141,describe_contents,1
142,create_module,1
143,create_constant,1
144,create_struct,1
145,create_union,1
146,create_enum,1
147,create_alias,1
148,create_interface,1
149,create_value,1
150,create_value_box,1
151,create_exception,1
152,create_native,1
153,base_interfaces,1
154,base_interfaces,1
155,is_abstract,1
156,is_abstract,1
157,is_a,1
158,describe_interface,1
159,create_attribute,1
160,create_operation,1
161,referenceTwoDistinctExtendedPersistenceContextsInSameTX_fail,1
162,_getClassLoader,1
163,pre_init,1
164,post_init,1
165,deploy_true,1
166,_get_interface_def,1
167,_all_interfaces,1
168,_invoke,1
169,registerTransformers_1_0,1
170,registerTransformers_1_0,1
171,registerTransformers_1_1_0,1
172,of,0
173,of,0
174,or,0
175,establish_components,1
176,def_kind,1
177,lookup_name,1
178,describe_contents,1
179,create_module,1
180,create_constant,1
181,create_struct,1
182,create_union,1
183,create_enum,1
184,create_alias,1
185,create_interface,1
186,create_value,1
187,create_value_box,1
188,create_exception,1
189,create_native,1
190,supported_interfaces,1
191,supported_interfaces,1
192,base_value,1
193,base_value,1
194,abstract_base_values,1
195,abstract_base_values,1
196,is_abstract,1
197,is_abstract,1
198,is_custom,1
199,is_custom,1
200,is_truncatable,1
201,is_truncatable,1
202,is_a,1
203,describe_value,1
204,create_value_member,1
205,create_attribute,1
206,create_operation,1
207,pre_init,1
208,post_init,1
209,testNonExistingConfig_1,1
210,testNonExistingConfig_2,1
211,deploy_true,1
212,registerTransformers_1_1_0,1
213,testTransformers1_1,1
214,testTransformers1_0_x_reject,1
215,testTransformers1_1_x_reject,1
216,testTransformersDiscardsImpliedValues1_0_0,1
217,testTransformersDiscardsImpliedValues1_1_0,1
218,ps,0
219,pd,0
220,testTransformers_1_2_0,1
221,deployment4_direct,1
222,test4_direct,1
223,testTransformerEAP_6_3,1
224,parseConnectionDefinitions_3_0,1
225,parseConnectionDefinitions_4_0,1
226,parseConnectionDefinitions_1_0,1
227,iAmAroundInvoke,0
228,Builder,1
229,original_type_def,1
230,original_type_def,1
231,of,0
232,id,0
233,id,0
234,defined_in,1
235,absolute_name,1
236,containing_repository,1
