,intellij-community_methodnaming,is_anomaly
0,Main,1
1,Main,1
2,PCDataAdded,1
3,testChainedMethodInsideCall_WithRParenOnNewLine,1
4,testChainedMethodInsideCall_Shifted,1
5,testChainedMethodInsideCall_Shifted_WithRParentOnNewLine,1
6,testAnonClassWithRParent_OnNextLine,1
7,_requestFocus,1
8,_init,1
9,_commit,1
10,_canContainTag,1
11,_canContainAttribute,1
12,_connect,1
13,_testMacrodefParam,1
14,_testMacrodefParam1,1
15,_setBounds,1
16,_findMethod,1
17,testOnSelected_Null,1
18,testOnSelected_Test,1
19,testOnSelected_Suite,1
20,_testGotoParentSuite_ResultsRoot,1
21,D,1
22,I,1
23,moduleNameFromMessage_ver2,1
24,moduleNameFromMessage_ver1,1
25,moduleMessage_ver1,1
26,moduleMessage_ver2,1
27,MyException,1
28,MyException,1
29,preferNearestWhiteSpaceWrap_InsteadOf_Comma,1
30,testConvert_SlashR,1
31,testConvert_SlashN,1
32,testConvert_SlashR_SlashN,1
33,_scrollVertically,1
34,_scrollHorizontally,1
35,TO_STRING,1
36,TO_CLASS,1
37,Implemented,1
38,A,1
39,Inner,1
40,full_hash,1
41,short_hash,1
42,two_different_hashes,1
43,_append,1
44,_append,1
45,_clear,1
46,_doPaint,1
47,testKeepSimpleBlocksInOneLine_OnIfStatementsThenBlock,1
48,testKeepSimpleBlocksInOneLine_OnIfStatementsElseBlock,1
49,testIfStatement_WhenBraceOnNextLine_AndKeepSimpleBlockInOneLineEnabled,1
50,testAnonClassCodeBlock_BracesIndented,1
51,testMethodIsSimple_IfCodeBlockHasNoLinefeeds,1
52,testFqnInJavadoc_Unnecessary_WhenFullyQualifyIfNotImported,1
53,testFqnInJavadoc_Unnecessary_WhenShortNamesAlways,1
54,Ctor,1
55,_testNamedTupleBaseStub,1
56,_isEnabled,1
57,_isEnabledForTabs,1
58,_isEnabledForProjectView,1
59,Inner,1
60,IntelliJBugConvertToLocal,1
61,Configuration,1
62,_resolve,1
63,$$$setupUI$$$,1
64,_locateToken,1
65,testValueOf_Test,1
66,testValueOf_TestNameCollapsing,1
67,testValueOf_Suite,1
68,testValueOf_SuiteNameCollapsing,1
69,testTotal_Test,1
70,testTotal_RegularSuite,1
71,testTotal_TotalNotRootSuite,1
72,testTotal_TotalRootSuite,1
73,ForEachTest,1
74,testJobUtilCorrectlySplitsUpHugeWorkAndFinishes_Performance,1
75,testJobUtilProcessesAllItems_Performance,1
76,testJobUtilRecursive_Performance,1
77,testTasksRunEvenWhenReadActionIsHardToGet_Performance,1
78,_startLoading,1
79,_collect,1
80,testPopEmptySuite_DebugMode,1
81,testPopEmptySuite_NormalMode,1
82,testPopInconsistentSuite_DebugMode,1
83,testPopInconsistentSuite_NormalMode,1
84,MyException,1
85,UTF8Length,1
86,testIDEA66311_16,1
87,_testIDEA57492,1
88,_testIDEA57493,1
89,testIDEA21602_7,1
90,_getParentOfType,1
91,WithPrivateInit,1
92,testReformatRearrange_NotBreaksCode_WhenCaretOnEmptyLine,1
93,testFormatSelection_DoNotTouchTrailingWhiteSpaces,1
94,_ensureIndexIsVisible,1
95,_ensureRangeIsVisible,1
96,_moveDown,1
97,_move,1
98,_moveUp,1
99,_execute,1
100,_getCachedValue,1
101,_getHintPosition,1
102,Bar,1
103,testIDEADEV74518_2,1
104,isCOUNT_FILTER_ENABLED,1
105,setCOUNT_FILTER_ENABLED,1
106,getCOUNT_FILTER,1
107,setCOUNT_FILTER,1
108,isCLASS_FILTERS_ENABLED,1
109,setCLASS_FILTERS_ENABLED,1
110,isINSTANCE_FILTERS_ENABLED,1
111,setINSTANCE_FILTERS_ENABLED,1
112,B,1
113,test_branch_with_hash_symbol,1
114,test_remote_unspecified_section,1
115,test_invalid_section_with_remote_prefix_is_ignored,1
116,getView_state,1
117,setView_state,1
118,getLast_updated,1
119,setLast_updated,1
120,getAttachments_count,1
121,setAttachments_count,1
122,getNotes_count,1
123,setNotes_count,1
124,error_sync_size,1
125,done_parsing,1
126,user_init,1
127,report_fatal_error,1
128,report_error,1
129,syntax_error,1
130,unrecovered_syntax_error,1
131,get_action,1
132,get_reduce,1
133,debug_message,1
134,dump_stack,1
135,debug_reduce,1
136,debug_shift,1
137,debug_stack,1
138,debug_parse,1
139,error_recovery,1
140,shift_under_error,1
141,find_recovery_config,1
142,read_lookahead,1
143,cur_err_token,1
144,advance_lookahead,1
145,restart_lookahead,1
146,try_parse_ahead,1
147,parse_lookahead,1
148,_updateAfterLoadedInBackground,1
149,_runBackgroundLoading,1
150,_createUi,1
151,_createUpdater,1
152,_getChildElements,1
153,testChainedMethodCallsAfterFieldsChain_WithAlignment,1
154,testChainedMethodCallsAfterFieldsChain_WithoutAlignment,1
155,testChainedMethodCalls_WithChopDownIfLongOption,1
156,testChainedMethodCalls_WithWrapIfNeededOption,1
157,testAlignMethodCalls_PassedAsParameters_InMethodCall,1
158,testDoNotAlign_IfFirstMultiline,1
159,testAlign_InMethod,1
160,test_Shift_All_AlignedParameters,1
161,test_Align_UnselectedField_IfNeeded,1
162,test_Align_UnselectedVariable_IfNeeded,1
163,test_Align_ConsecutiveVars_InsideIfBlock,1
164,test_Align_ConsecutiveVars_InsideForBlock,1
165,test_Align_ConsecutiveVars_InsideTryBlock,1
166,test_Align_ConsecutiveVars_InsideCodeBlock,1
167,test_AlignComments_BetweenChainedMethodCalls,1
168,test_AlignComments_2,1
169,test_AlignSubsequentOneLineMethods,1
170,Inner,1
171,testSurefire2_14,1
172,Static,1
173,FOO2,1
174,testQualified_1,1
175,testQualified_2,1
176,Inner,1
177,Foo,1
178,addDependencies_37_78,1
179,_2,1
180,_addProcessor,1
181,_dispatchEvent,1
182,testSCR22368_1,1
183,test_something,1
184,ChildCtor,1
185,_storePaths,1
186,_handleInsert,1
187,testGetName_trim,1
188,testTestStarted_InSuite,1
189,testTestFinished_InSuite,1
190,testTestFinished_InSuite_WrongOrder,1
191,testTestFailed_ComparisonAssertion,1
192,testTestFailed_InSuite,1
193,testTestIgnored_InSuite,1
194,testTestError_InSuite,1
195,testSuiteFailed_WithPendingAndFailed,1
196,testSuitePending_WithPendingAndPassed,1
197,testSuiteTerminated_WithNotRunChild,1
198,testSuiteTerminated_WithChildInProgress,1
199,testSuiteTerminated_WithChildInFinalState,1
200,testMagnitude_Error,1
201,testMagnitude_Terminated,1
202,testMagnitude_suiteWithoutTests,1
203,testMagnitude_PassedSuite,1
204,testShouldRun_Test,1
205,testShouldRun_Suite,1
206,testShouldRun_StartedTest,1
207,testShouldRun_StartedSuite,1
208,testShouldRun_FailedTest,1
209,testShouldRun_FailedSuite,1
210,testShouldRun_ErrorSuite,1
211,testShouldRun_PassedTest,1
212,testShouldRun_PassedSuite,1
213,testDuration_ForTest,1
214,testDuration_ForSuiteEmpty,1
215,testSetDuration_Suite,1
216,testDuration_ForSuiteWithTests,1
217,testDuration_OnFinished,1
218,testDuration_OnTerminated,1
219,testDuration_ForSuiteWithSuites,1
220,testEmptySuite_isntDefect,1
221,testIsEmpty_EmptySuiteNotRun,1
222,testIsEmpty_SuiteNotRun,1
223,testIsEmpty_EmptySuiteInProgress,1
224,testIsEmpty_EmptySuiteFinished,1
225,testIsEmpty_EmptySuiteWithSubSuite_NotRun,1
226,testIsEmpty_EmptySuiteWithSubSuite_InProgress,1
227,testIsEmpty_EmptySuiteWithSubSuite_Finished,1
228,testIsEmpty_SuiteWithSubSuite_InProgress,1
229,testIsEmpty_Caching,1
230,testGotoSuite_OnTest,1
231,testGotoSuite_OnSuite,1
232,testGotoParentSuite_Total,1
233,testGotoParentSuite_TotalRoot,1
234,testOnSuiteStarted_NoCurrent,1
235,testOnSuiteStarted_Current,1
236,testOnSuiteStarted_Child,1
237,testOnSuiteStarted_Other,1
238,testOnSuiteFinished_NoCurrent,1
239,testOnSuiteFinished_Current,1
240,testOnSuiteFinished_Child,1
241,testOnSuiteFinished_Other,1
242,testOnTestStarted_NoCurrent,1
243,testOnTestStarted_Child,1
244,testOnTestStarted_Other,1
245,testOnTestFinished_NoCurrent,1
246,testOnTestFinished_Child,1
247,testOnTestFinished_Other,1
248,testSelectionRestoring_ForTest,1
249,testSelectionRestoring_ForSuite,1
250,_init,1
251,_commitPrev,1
252,_commit,1
253,ID,1
254,ass$ert,1
255,_testUnrelatedClasses,1
256,_testUnrelatedClassesExtendsTypeParams,1
257,Inner,1
258,Inner,1
259,FF,1
260,GG,1
261,HH,1
262,II,1
263,testWeb_10585,1
264,testAlignMultipleAnonymousClasses_PassedAsMethodParameters,1
265,testAlignmentAdditionalParamsWithMultipleAnonymousClasses_PassedAsMethodParameters,1
266,testAlignmentMultipleParamsWithAnonymousClass_PassedAsMethodParams,1
267,testEnforceChildrenIndent_OfAnonymousClasses_IfAnyOfParamsIsLocatedOnNewLine,1
268,getView_state,1
269,setView_state,1
270,getAccess_min,1
271,setAccess_min,1
272,getFile_path,1
273,setFile_path,1
274,getInherit_global,1
275,setInherit_global,1
276,testSurroundExpressionWithCastEmptyLineAfter_2,1
277,testSetAttribute_ForXhtml,1
278,_testReplaceWithMethodReference,1
279,testOnTestStarted_Twice,1
280,testOnTestStarted_WithLocation,1
281,testOnTestFailure_Twice,1
282,testOnTestFinished_EmptySuite,1
283,testOnFinishedTesting_WithFailure,1
284,testOnFinishedTesting_WithError,1
285,testOnFinishedTesting_WithIgnored,1
286,testOnFinishedTesting_twice,1
287,testOnSuiteStarted_WithLocation,1
288,testConcurrentSuite_intersected,1
289,_testSettingLocalRepository,1
290,_testReleasingTwice,1
291,_testExecutionGoals,1
292,_testResolvingProject,1
293,_testResolvingProjectPropertiesInFolders,1
294,_testResolvingProjectWithExtensions,1
295,_testResolvingProjectWithRegisteredExtensions,1
296,_testUnresolvedArtifacts,1
297,_testUnresolvedSystemArtifacts,1
298,_testDependencyWithUnresolvedParent,1
299,_testUnresolvedSystemArtifactsWithoutPath,1
300,D,1
301,_testHugeFile,1
302,_getInfo,1
303,_getLookupItem,1
304,_testRandomAddRemove,1
305,testRandomEdit_NoCommand,1
306,testRangeMarkersAreWeakReferenced_NoVerify,1
307,testValueOf_NotRun,1
308,testValueOf_InProgress,1
309,testValueOf_TestFailure,1
310,testValueOf_TestPassed,1
311,testValueOf_TestError,1
312,testValueOf_TestTerminated,1
313,testValueOf_TestIgnored,1
314,testValueOf_Duration_Zero,1
315,testValueOf_Duration_1,1
316,testValueOf_Duration_99,1
317,testValueOf_Duration_100,1
318,testValueOf_Duration_999,1
319,testValueOf_Duration_1000,1
320,testValueOf_Duration_1001,1
321,testValueOf_SuiteEmpty,1
322,testValueOf_SuiteNotRun,1
323,testValueOf_SuiteFailed,1
324,testValueOf_SuiteError,1
325,testValueOf_SuitePassed,1
326,testValueOf_SuiteTerminated,1
327,testValueOf_SuiteRunning,1
328,testTotal_Test,1
329,testTotal_RegularSuite,1
330,testTotal_TotalSuite,1
331,parse_root_,1
332,long_option_name,1
333,option_0,1
334,option_0_1,1
335,option_1,1
336,option_1_1,1
337,root_1,1
338,root_1_0,1
339,short_option_name,1
340,Bar,1
341,_locateToken,1
342,Foo,1
343,Foo,1
344,_performAction,1
345,_performAction,1
346,getTotal_results,1
347,setTotal_results,1
348,_processKeyEvent,1
349,Inner,1
350,_mergeModels,1
351,MyException,1
352,Array,1
353,Inner2test01,1
354,testFileDirPathFromParentMacro_NoParentFound,1
355,_do,1
356,testSubstitute_NoSubstitute,1
357,testSubstitute_CompleteMatch,1
358,testSubstitute_PrefixMatch,1
359,testSubstitute_JarPrefixMatch,1
360,testSubstitute_WindowsRootSubstitution,1
361,testSubstitute_NoSubstituteInTheMiddleOccurs,1
362,testSubstitute_NoDoubleSubstitution,1
363,testSubstitute_NoPartialSubstituteIsPerformed,1
364,testSubstitute_ProperSubstitutionPriorityApplied,1
365,$$$setupUI$$$,1
366,_,1
367,_init,1
368,testCustomComponent_Fields,1
369,Inner,1
370,testIDEA66311_16,1
371,testIDEA21602_7,1
372,testJavaUtilCollections_NoVerify,1
373,_2,1
374,getProject_id,1
375,setProject_id,1
376,getDate_order,1
377,setDate_order,1
378,testParenAfterCall1_SpaceWithinMethodCallParens,1
379,_testTypeParametersObjectInheritors,1
380,_testDefaultAnnoParam2,1
381,testAnnotation2_2,1
382,testAnnotation3_2,1
383,_testCallVarargArgument,1
384,testSCR6744_1,1
385,testSCR6744_2,1
386,testSCR6744_3,1
387,testSCR6744_4,1
388,testSCR6744_5,1
389,testSCR6744_6,1
390,testSCR7428_1,1
391,test_margins_and_gaps,1
392,test_invalid_parameters,1
393,test_split,1
394,test_insert_1,1
395,test_insert_first,1
396,test_insert_last,1
397,test_insert_after_and_before,1
398,test_delete,1
399,_execute,1
400,I_clone_the_repository,1
401,I_should_be_asked_for_the_password,1
402,I_should_be_asked_for_the_username,1
403,I_provide_password,1
404,I_provide_username,1
405,the_repository_should_be_cloned,1
406,ExpandBuff,1
407,FillBuff,1
408,BeginToken,1
409,UpdateLineColumn,1
410,ReInit,1
411,ReInit,1
412,ReInit,1
413,ReInit,1
414,ReInit,1
415,ReInit,1
416,GetImage,1
417,GetSuffix,1
418,Done,1
419,testIDEADEV_41403,1
420,_testSOEInEndlessAppendChainPerformance,1
